Дата,День,Область,Чи буде тривога?,Ймовірність (%),Час початку,Тип загрози,Тривалість (хв)
2022-10-16,Неділя,Kirovohradska oblast,Так,100.0,13:00 - 14:00,Балістика (Тилові),24
2022-10-16,Неділя,Donetska oblast,Так,100.0,07:00 - 08:00,Крилаті ракети / МіГ,58
2022-10-16,Неділя,Dnipropetrovska oblast,Так,100.0,18:00 - 19:00,Комбінована атака,480
2022-10-16,Неділя,Kharkivska oblast,Так,100.0,14:00 - 15:00,Крилаті ракети / МіГ,58
2022-10-16,Неділя,Zaporizka oblast,Так,100.0,19:00 - 20:00,Обстріл / Швидка балістика,24
2022-10-16,Неділя,Mykolaivska oblast,Так,96.7,14:00 - 15:00,Обстріл / Швидка балістика,26
2022-10-16,Неділя,Poltavska oblast,Так,93.3,14:00 - 15:00,Балістика (Тилові),25
2022-10-16,Неділя,Cherkaska oblast,Так,90.0,13:00 - 14:00,Балістика (Тилові),24
2022-10-16,Неділя,Odeska oblast,Так,86.7,21:00 - 22:00,Обстріл / Швидка балістика,25
2022-10-16,Неділя,Sumska oblast,Так,83.3,08:00 - 09:00,Крилаті ракети / МіГ,61
2022-10-16,Неділя,Zhytomyrska oblast,Так,76.7,15:00 - 16:00,Балістика (Тилові),23
2022-10-16,Неділя,Kyivska oblast,Так,76.7,15:00 - 16:00,Балістика (Тилові),24
2022-10-16,Неділя,Kyiv City,Так,76.7,15:00 - 16:00,Балістика (Тилові),24
2022-10-16,Неділя,Vinnytska oblast,Так,73.3,15:00 - 16:00,Балістика (Тилові),23
2022-10-16,Неділя,Chernihivska oblast,Так,73.3,06:00 - 07:00,Крилаті ракети / МіГ,62
2022-10-16,Неділя,Rivnenska oblast,Так,60.0,07:00 - 08:00,Крилаті ракети / МіГ,60
2022-10-16,Неділя,Volynska oblast,Так,60.0,07:00 - 08:00,Крилаті ракети / МіГ,59
2022-10-16,Неділя,Khmelnytska oblast,Так,56.7,15:00 - 16:00,Крилаті ракети / МіГ,61
2022-10-16,Неділя,Ivano-Frankivska oblast,Так,56.7,15:00 - 16:00,Крилаті ракети / МіГ,60
2022-10-16,Неділя,Lvivska oblast,Так,56.7,15:00 - 16:00,Крилаті ракети / МіГ,60
2022-10-16,Неділя,Ternopilska oblast,Так,56.7,15:00 - 16:00,Крилаті ракети / МіГ,61
2022-10-16,Неділя,Zakarpatska oblast,Так,53.3,15:00 - 16:00,Крилаті ракети / МіГ,62
2022-10-16,Неділя,Chernivetska oblast,Так,50.0,15:00 - 16:00,Балістика (Тилові),24
2022-10-16,Неділя,Khersonska oblast,Так,30.0,14:00 - 15:00,Обстріл / Швидка балістика,25
2022-10-17,Понеділок,Mykolaivska oblast,Так,100.0,01:00 - 02:00,Крилаті ракети / МіГ,57
2022-10-17,Понеділок,Donetska oblast,Так,100.0,01:00 - 02:00,Крилаті ракети / МіГ,58
2022-10-17,Понеділок,Kharkivska oblast,Так,100.0,01:00 - 02:00,Обстріл / Швидка балістика,24
2022-10-17,Понеділок,Zaporizka oblast,Так,100.0,02:00 - 03:00,Обстріл / Швидка балістика,24
2022-10-17,Понеділок,Kirovohradska oblast,Так,96.7,01:00 - 02:00,Балістика (Тилові),24
2022-10-17,Понеділок,Dnipropetrovska oblast,Так,96.7,10:00 - 11:00,Обстріл / Швидка балістика,24
2022-10-17,Понеділок,Poltavska oblast,Так,93.3,01:00 - 02:00,Балістика (Тилові),25
2022-10-17,Понеділок,Odeska oblast,Так,93.3,04:00 - 05:00,Комбінована атака,230
2022-10-17,Понеділок,Cherkaska oblast,Так,90.0,04:00 - 05:00,Крилаті ракети / МіГ,61
2022-10-17,Понеділок,Sumska oblast,Так,90.0,01:00 - 02:00,Обстріл / Швидка балістика,27
2022-10-17,Понеділок,Vinnytska oblast,Так,80.0,04:00 - 05:00,Крилаті ракети / МіГ,60
2022-10-17,Понеділок,Zhytomyrska oblast,Так,76.7,04:00 - 05:00,Комбінована атака,263
2022-10-17,Понеділок,Chernihivska oblast,Так,76.7,01:00 - 02:00,Обстріл / Швидка балістика,24
2022-10-17,Понеділок,Kyivska oblast,Так,73.3,03:00 - 04:00,Комбінована атака,242
2022-10-17,Понеділок,Kyiv City,Так,73.3,03:00 - 04:00,Комбінована атака,243
2022-10-17,Понеділок,Khmelnytska oblast,Так,60.0,04:00 - 05:00,Комбінована атака,250
2022-10-17,Понеділок,Rivnenska oblast,Так,60.0,04:00 - 05:00,Балістика (Тилові),24
2022-10-17,Понеділок,Volynska oblast,Так,60.0,04:00 - 05:00,Балістика (Тилові),24
2022-10-17,Понеділок,Ivano-Frankivska oblast,Так,53.3,04:00 - 05:00,Балістика (Тилові),26
2022-10-17,Понеділок,Chernivetska oblast,Так,53.3,04:00 - 05:00,Комбінована атака,294
2022-10-17,Понеділок,Ternopilska oblast,Так,50.0,04:00 - 05:00,Балістика (Тилові),24
2022-10-17,Понеділок,Zakarpatska oblast,Так,50.0,04:00 - 05:00,Балістика (Тилові),24
2022-10-17,Понеділок,Lvivska oblast,Так,46.7,04:00 - 05:00,Балістика (Тилові),26
2022-10-17,Понеділок,Khersonska oblast,Так,40.0,01:00 - 02:00,Крилаті ракети / МіГ,58
2022-10-18,Вівторок,Mykolaivska oblast,Так,100.0,21:00 - 22:00,Крилаті ракети / МіГ,57
2022-10-18,Вівторок,Kirovohradska oblast,Так,100.0,02:00 - 03:00,Балістика (Тилові),24
2022-10-18,Вівторок,Donetska oblast,Так,100.0,13:00 - 14:00,Обстріл / Швидка балістика,22
2022-10-18,Вівторок,Dnipropetrovska oblast,Так,100.0,16:00 - 17:00,Обстріл / Швидка балістика,24
2022-10-18,Вівторок,Kharkivska oblast,Так,100.0,11:00 - 12:00,Обстріл / Швидка балістика,24
2022-10-18,Вівторок,Cherkaska oblast,Так,96.8,22:00 - 23:00,Балістика (Тилові),24
2022-10-18,Вівторок,Poltavska oblast,Так,96.8,00:00 - 01:00,Балістика (Тилові),25
2022-10-18,Вівторок,Zaporizka oblast,Так,93.5,20:00 - 21:00,Обстріл / Швидка балістика,24
